Lot Area,Gr Liv Area,Overall Qual,Total Bsmt SF,Year Built,Garage Cars,SalePrice
31770,1656,6,1080.0,1960,2.0,215000
11622,896,5,882.0,1961,1.0,105000
14267,1329,6,1329.0,1958,1.0,172000
11160,2110,7,2110.0,1968,2.0,244000
13830,1629,5,928.0,1997,2.0,189900
9978,1604,6,926.0,1998,2.0,195500
4920,1338,8,1338.0,2001,2.0,213500
5005,1280,8,1280.0,1992,2.0,191500
5389,1616,8,1595.0,1995,2.0,236500
7500,1804,7,994.0,1999,2.0,189000
10000,1655,6,763.0,1993,2.0,175900
7980,1187,6,1168.0,1992,2.0,185000
8402,1465,6,789.0,1998,2.0,180400
10176,1341,7,1300.0,1990,2.0,171500
6820,1502,8,1488.0,1985,2.0,212000
53504,3279,8,1650.0,2003,3.0,538000
12134,1752,8,559.0,1988,2.0,164000
11394,1856,9,1856.0,2010,3.0,394432
19138,864,4,864.0,1951,2.0,141000
13175,2073,6,1542.0,1978,2.0,210000
11751,1844,6,1844.0,1977,2.0,190000
10625,1173,7,1053.0,1974,2.0,170000
7500,1674,7,814.0,2000,2.0,216000
11241,1004,6,1004.0,1970,2.0,149000
12537,1078,5,1078.0,1971,2.0,149900
8450,1056,5,1056.0,1968,1.0,142000
8400,882,4,882.0,1970,2.0,126000
10500,864,4,864.0,1971,0.0,115000
5858,1337,7,1405.0,1999,2.0,184000
1680,987,6,483.0,1971,1.0,96000
1680,1092,5,525.0,1971,1.0,105500
1680,1092,6,525.0,1971,1.0,88000
4043,1069,6,1069.0,1977,2.0,127500
2280,1456,6,855.0,1975,2.0,149900
2280,836,7,836.0,1975,1.0,120000
2280,1456,6,855.0,1978,2.0,146000
12858,2334,9,1590.0,2009,3.0,376162
11478,1704,8,1704.0,2007,3.0,306000
10159,1940,9,1930.0,2009,3.0,395192
12883,1544,8,1544.0,2009,3.0,290941
12182,1541,7,1541.0,2005,2.0,220000
11520,1698,9,1698.0,2005,3.0,275000
14122,1822,8,1822.0,2005,3.0,259000
10171,1535,7,1517.0,2004,2.0,214000
12919,2364,9,2330.0,2009,3.0,611657
6371,1358,7,1358.0,2009,2.0,224000
14300,2696,9,2846.0,2003,3.0,500000
13650,2250,8,1671.0,2002,3.0,320000
7658,1752,9,1752.0,2005,2.0,319900
7132,1370,8,1370.0,2006,2.0,205000
2628,1626,7,764.0,2003,2.0,175500
18494,1324,6,1324.0,2005,2.0,199500
3203,1145,7,1145.0,2006,2.0,160000
3182,1269,8,1256.0,2004,2.0,192000
13300,1374,7,384.0,2004,2.0,184500
7851,1960,6,860.0,2002,2.0,216500
8577,1733,7,847.0,2004,2.0,185088
7750,1430,7,384.0,2000,2.0,180000
9505,2035,7,884.0,2001,2.0,222500
14774,2599,9,1393.0,1999,3.0,333168
17433,2475,8,1629.0,1998,3.0,355000
10593,1720,7,1720.0,1996,2.0,260400
12256,2622,8,1463.0,1994,2.0,325000
11764,2270,8,1152.0,1999,3.0,290000
16770,1839,7,1195.0,1998,2.0,221000
14720,3238,8,2033.0,1995,3.0,410000
8987,1595,8,1595.0,2005,3.0,221500
9215,1218,7,1218.0,2009,2.0,204500
8640,1547,7,756.0,2009,2.0,215200
9000,1566,8,1566.0,2008,2.0,262500
12552,1947,7,991.0,2004,2.0,254900
10440,1468,6,1468.0,2005,2.0,271500
10142,2084,7,956.0,2004,2.0,233000
11920,1659,7,831.0,2004,2.0,181000
8880,2110,7,948.0,1994,2.0,205000
8012,923,6,923.0,1980,1.0,143000
11218,1845,6,1055.0,1992,2.0,189000
7892,918,6,918.0,1979,1.0,99500
7175,752,6,744.0,1984,1.0,125000
9453,1744,7,996.0,1993,2.0,194500
9672,1097,6,1040.0,1984,2.0,152000
8400,1564,6,650.0,1980,2.0,171000
9800,1012,5,816.0,1920,1.0,67500
8930,1902,6,0.0,1978,2.0,112000
11782,1155,5,1109.0,1961,2.0,148000
8450,894,5,894.0,1965,1.0,138500
9819,900,5,882.0,1967,1.0,122000
7500,1040,5,1040.0,1963,1.0,133000
6897,1040,5,1040.0,1962,1.0,127000
15410,1494,6,1208.0,1974,2.0,169000
